Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LandingLearningBrain,0.594,12814.984,27.743,10244,600.125
LandingLearningBrain,0.639,12854.958,27.583,10296,599.862
LandingLearningBrain,0.597,12895.261,27.910,10266,599.585
LandingLearningBrain,0.774,12935.223,28.340,10291,599.260
LandingLearningBrain,0.569,12973.596,28.983,10291,599.038
LandingLearningBrain,0.585,13013.757,27.900,10242,598.750
LandingLearningBrain,0.734,13053.704,27.702,10267,598.430
LandingLearningBrain,0.576,13093.722,27.917,10271,598.057
LandingLearningBrain,0.700,13133.596,27.531,10297,597.726
LandingLearningBrain,0.562,13171.898,28.835,10255,597.500
LandingLearningBrain,0.593,13211.551,28.391,10290,597.213
